python-api-challenge_final
City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,sao vicente,-23.9631,-46.3919,37.1,50,0,2.24,BR,1704735803
331,colonia rincon viejo,16.9,-95.05,31.38,45,22,5.94,MX,1704735804
332,cockburn town,21.4612,-71.1419,25.98,65,40,5.14,TC,1704735804
333,dubbo,-32.25,148.6167,20.07,100,100,2.06,AU,1704735805
334,loches,47.1333,1.0,0.05,71,62,3.43,FR,1704735805
335,defuniak springs,30.721,-86.1152,11.57,53,75,6.17,US,1704735806
336,steinbach,50.1667,8.5667,-3.29,67,0,6.69,DE,1704735806
337,floro,61.5996,5.0328,3.31,70,75,4.63,NO,1704735806
338,bodo,67.28,14.405,5.25,95,100,10.8,NO,1704735768
339,sherman,33.6357,-96.6089,11.64,94,100,5.14,US,1704735807
340,puerto san jose,13.9256,-90.8244,30.02,48,2,2.49,GT,1704735808
341,bikenibeu village,1.3673,173.1241,26.98,94,75,2.06,KI,1704735808
342,twon-brass,4.3151,6.2418,28.65,76,18,6.9,NG,1704735809
343,jiangyou,31.7667,104.7167,11.15,73,99,1.03,CN,1704735810
344,port augusta,-32.5,137.7667,19.52,77,0,4.09,AU,1704735810
345,sol'-iletsk,51.1631,54.9918,-23.1,96,44,1.02,RU,1704735811
346,inarajan village,13.2736,144.7484,27.08,84,65,7.84,GU,1704735811
347,truro,50.2653,-5.0544,2.66,75,40,4.63,GB,1704735812
348,tapes,-30.6733,-51.3958,29.47,60,99,4.95,BR,1704735812
349,fairmount,43.0473,-76.2385,3.09,87,100,1.79,US,1704735813
350,mesudiye,40.4625,37.7725,4.7,91,99,3.75,TR,1704735813
351,wahpeton,46.2652,-96.6059,-7.26,100,100,2.57,US,1704735814
352,lyubokhna,53.5033,34.3885,-16.15,96,7,1.54,RU,1704735814
353,sligo,54.2697,-8.4694,2.96,86,75,1.03,IE,1704735815
354,al ghayzah,16.2079,52.176,23.27,37,38,4.37,YE,1704735815
355,kogalym,62.2654,74.4791,-15.26,96,100,5.75,RU,1704735782
356,flin flon,54.7682,-101.865,-31.09,76,100,1.03,CA,1704735816
357,sumbawanga,-7.9667,31.6167,15.77,95,70,0.9,TZ,1704735543
358,plastun,44.7561,136.2939,-12.32,54,96,2.55,RU,1704735817
359,lazaro cardenas,17.9583,-102.2,28.55,55,12,2.14,MX,1704735588
360,asentamiento humano nicolas de pierola,-11.95,-76.7,20.16,60,34,5.25,PE,1704735818
361,obidos,-1.9175,-55.5181,31.9,56,100,2.37,BR,1704735818
